@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0,0,29.5,26.4,0.00,29.5,28.5
0,0,27.6,24.2,0.00,28.5,30.5
0,0,22.2,21.3,0.00,30.5,31.6
20.2,0,24,20.8,0.00,31.6,33.1
0,0,23.6,18,0.00,33.1,32.1
0,0,24.2,18.2,0.00,32.1,43.4
0,0.2,26,20.6,0.00,43.4,44.1
0,2,26.8,21,0.00,44.1,44.8
0,0,27.3,21.5,0.00,44.8,43.4
0,0,26.2,22.8,0.00,43.4,37
0,0,27.4,19.8,0.00,37,38.3
0,0.1,26.5,21.8,0.00,38.3,38.9
0,0.2,27.2,23.4,0.00,38.9,40.7
0,0,27.2,21,0.00,40.7,42
0,0.1,25.4,20.8,0.00,42,39.5
0,0,25.2,21,0.00,39.5,38.3
0,0,26,20.4,0.00,38.3,38.9
0,0,24.2,20.4,0.00,38.9,33.6
0,0,23.4,18.4,0.00,33.6,32.6
0,0,22.4,17.9,0.00,32.6,32.6
0,0,21.3,16.4,0.00,32.6,34.7
0,0,20,16.3,0.00,34.7,36.4
0,0.7,19.2,12.8,0.00,36.4,35.8
0,0,19.4,14.4,0.00,35.8,36.4
0,0,22.8,16.4,0.00,36.4,37
0,0,21.8,16.1,0.00,37,37
0,0,20.5,17.1,0.00,37,35.2
0,0,17.2,16.6,0.00,35.2,38.3
0,0,18.6,15.9,0.00,38.3,41.3
0,0,17.6,14.2,0.00,41.3,44.8
0,0,16.3,11.7,0.00,44.8,44.1
0,0,16,9.6,0.00,44.1,45.4
0,0,17.2,10.4,0.00,45.4,44.1
0,0,15.8,11.3,0.00,44.1,43.4
0,0,17.8,12.3,0.00,43.4,43.4
0,0,19.1,14,0.00,43.4,43.4
0,0,20.2,13.2,0.00,43.4,41.3
3.2,0,15.4,10.6,0.00,41.3,40.1
5.3,15.8,17.2,11.3,0.00,40.1,42.7
1.8,4,17.8,12.2,0.00,42.7,45.4
0,0,17.9,13.6,0.00,45.4,48.9
0,8.2,15.1,11.4,0.00,48.9,46.1
0,0,17.2,10.9,0.00,46.1,46.1
0,0,17.2,11.2,0.00,46.1,44.1
0,0,17.6,13,0.00,44.1,44.1
1.3,0.5,19,13.4,0.00,44.1,44.1
0.3,0,8.9,2.9,76.06,44.1,84.4
0.1,0,5.8,1.9,76.06,84.4,89.6
2.8,1,2.5,-1.6,90.71,89.6,97.7
0.5,4,4,-3.1,90.71,97.7,97.7
0.1,0,8.6,1.9,77.80,97.7,92.3
1.3,0.1,7.8,3.4,77.80,92.3,95.9
1.6,1,8.7,3,77.80,95.9,96.8
